     Time	   ECG1	   ECG2
(hh:mm:ss.mmm)	   (mV)	   (mV)
[09:56:00.000]	 -0.435	 -0.425
[09:56:00.008]	 -0.435	 -0.415
[09:56:00.016]	 -0.415	 -0.405
[09:56:00.023]	 -0.405	 -0.405
[09:56:00.031]	 -0.395	 -0.395
[09:56:00.039]	 -0.385	 -0.385
[09:56:00.047]	 -0.375	 -0.375
[09:56:00.055]	 -0.375	 -0.385
[09:56:00.063]	 -0.355	 -0.365
[09:56:00.070]	 -0.355	 -0.365
[09:56:00.078]	 -0.345	 -0.355
[09:56:00.086]	 -0.345	 -0.345
[09:56:00.094]	 -0.325	 -0.345
[09:56:00.102]	 -0.325	 -0.335
[09:56:00.109]	 -0.325	 -0.335
[09:56:00.117]	 -0.325	 -0.325
[09:56:00.125]	 -0.325	 -0.315
[09:56:00.133]	 -0.325	 -0.325
[09:56:00.141]	 -0.325	 -0.315
[09:56:00.148]	 -0.325	 -0.305
[09:56:00.156]	 -0.325	 -0.295
[09:56:00.164]	 -0.325	 -0.295
[09:56:00.172]	 -0.315	 -0.295
[09:56:00.180]	 -0.315	 -0.285
[09:56:00.188]	 -0.325	 -0.285
[09:56:00.195]	 -0.325	 -0.275
[09:56:00.203]	 -0.305	 -0.275
[09:56:00.211]	 -0.315	 -0.265
[09:56:00.219]	 -0.305	 -0.255
[09:56:00.227]	 -0.305	 -0.255
[09:56:00.234]	 -0.305	 -0.245
[09:56:00.242]	 -0.305	 -0.245
[09:56:00.250]	 -0.295	 -0.245
[09:56:00.258]	 -0.295	 -0.235
[09:56:00.266]	 -0.295	 -0.235
[09:56:00.273]	 -0.285	 -0.225
[09:56:00.281]	 -0.275	 -0.215
[09:56:00.289]	 -0.275	 -0.215
[09:56:00.297]	 -0.275	 -0.215
[09:56:00.305]	 -0.275	 -0.205
[09:56:00.313]	 -0.265	 -0.195
[09:56:00.320]	 -0.255	 -0.195
[09:56:00.328]	 -0.255	 -0.185
[09:56:00.336]	 -0.255	 -0.175
[09:56:00.344]	 -0.235	 -0.165
[09:56:00.352]	 -0.235	 -0.155
[09:56:00.359]	 -0.215	 -0.145
